Set used: 3

Position (m)                            Time (s)
--------------------------------------------------------
0                                             0
0.0000015759                           0.0051
0.0000031261                           0.0101
0.0000046504                           0.0151
0.0000061483                           0.0201
0.0000076197                           0.0251
0.0000090644                           0.0301
0.0000104820                           0.0351
0.0000118722                           0.0401
0.0000132352                           0.0451
0.0000145707                           0.0501
0.0000158784                           0.0551
0.0000171584                           0.0601
0.0000184105                           0.0651
0.0000196345                           0.0701
0.0000208303                           0.0751
0.0000219977                           0.0801
0.0000231369                           0.0851
0.0000242478                           0.0901
0.0000253305                           0.0951
0.0000263848                           0.1001
0.0000274108                           0.1051
0.0000284086                           0.1101
0.0000293781                           0.1151
0.0000303193                           0.1201
0.0000312321                           0.1251
0.0000321165                           0.1301
0.0000329723                           0.1351
0.0000337996                           0.1401
0.0000345985                           0.1451
0.0000353693                           0.1501
0.0000361120                           0.1551
0.0000368267                           0.1601
0.0000375137                           0.1651
0.0000381730                           0.1701
0.0000388048                           0.1751
0.0000394093                           0.1801
0.0000399865                           0.1851
0.0000405368                           0.1901
0.0000410603                           0.1951
0.0000415572                           0.2001
0.0000420276                           0.2051
0.0000424720                           0.2101
0.0000428903                           0.2151
0.0000432829                           0.2201
0.0000436502                           0.2251
0.0000439927                           0.2301
0.0000443106                           0.2351
0.0000446040                           0.2401
0.0000448729                           0.2451
0.0000451176                           0.2501
0.0000453383                           0.2551
0.0000455350                           0.2601
0.0000457084                           0.2651
0.0000458587                           0.2701
0.0000459860                           0.2751
0.0000460910                           0.2801
0.0000461736                           0.2851
0.0000462342                           0.2901
0.0000462734                           0.2951
0.0000462913                           0.3001
0.0000462880                           0.3051
0.0000462639                           0.3101
0.0000462189                           0.3151
0.0000461536                           0.3201
0.0000460685                           0.3251
0.0000459640                           0.3301
0.0000458407                           0.3351
0.0000456989                           0.3401
0.0000455388                           0.3451
0.0000453609                           0.3501
0.0000451657                           0.3551
0.0000449535                           0.3601
0.0000447247                           0.3651
0.0000444798                           0.3701
0.0000442193                           0.3751
0.0000439435                           0.3801
0.0000436526                           0.3851
0.0000433468                           0.3901
0.0000430264                           0.3951
0.0000426920                           0.4001
0.0000423438                           0.4051
0.0000419822                           0.4101
0.0000416076                           0.4151
0.0000412205                           0.4201
0.0000408210                           0.4251
0.0000404095                           0.4301
0.0000399862                           0.4351
0.0000395512                           0.4401
0.0000391052                           0.4451
0.0000386488                           0.4501
0.0000381821                           0.4551
0.0000377056                           0.4601
0.0000372200                           0.4651
0.0000367255                           0.4701
0.0000362225                           0.4751
0.0000357113                           0.4801
0.0000351923                           0.4851
0.0000346659                           0.4901
0.0000341329                           0.4951
0.0000335935                           0.5001
0.0000330478                           0.5051
0.0000324962                           0.5101
0.0000319387                           0.5151
0.0000313758                           0.5201
0.0000308079                           0.5251
0.0000302355                           0.5301
0.0000296587                           0.5351
0.0000290777                           0.5401
0.0000284930                           0.5451
0.0000279047                           0.5501
0.0000273131                           0.5551
0.0000267188                           0.5601
0.0000261220                           0.5651
0.0000255230                           0.5701
0.0000249221                           0.5751
0.0000243196                           0.5801
0.0000237160                           0.5851
0.0000231114                           0.5901
0.0000225062                           0.5951
0.0000219006                           0.6001
0.0000212949                           0.6051
0.0000206892                           0.6101
0.0000200838                           0.6151
0.0000194789                           0.6201
0.0000188747                           0.6251
0.0000182715                           0.6301
0.0000176697                           0.6351
0.0000170695                           0.6401
0.0000164712                           0.6451
0.0000158751                           0.6501
0.0000152813                           0.6551
0.0000146902                           0.6601
0.0000141021                           0.6651
0.0000135170                           0.6701
0.0000129352                           0.6751
0.0000123569                           0.6801
0.0000117822                           0.6851
0.0000112112                           0.6901
0.0000106442                           0.6951
0.0000100813                           0.7001
0.0000095230                           0.7051
0.0000089692                           0.7101
0.0000084201                           0.7151
0.0000078761                           0.7201
0.0000073372                           0.7251
0.0000068035                           0.7301
0.0000062751                           0.7351
0.0000057524                           0.7401
0.0000052353                           0.7451
0.0000047241                           0.7501
0.0000042189                           0.7551
0.0000037200                           0.7601
0.0000032272                           0.7651
0.0000027409                           0.7701
0.0000022611                           0.7751
0.0000017878                           0.7801
0.0000013213                           0.7851
0.0000008615                           0.7901
0.0000004086                           0.7951
-0.0000000373                          0.8001
-0.0000004761                          0.8051
-0.0000009078                          0.8101
-0.0000013322                          0.8151
-0.0000017493                          0.8201
-0.0000021590                          0.8251
